#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Feeder
stack,38,0,134,25.06,270.18,-90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
stack,39,0,134,25.34,288,-90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
stack,40,0,134,25.61,305.46,-90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
stack,41,0,134,25.27,323.01,-90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
stack,42,0,134,25.46,340.2,-90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
stack,43,0,134,27.41,365.03,-90,SOIC8,SOIC8/24AA025E48T-I/SN,1.7,400,3.2,100,No,-40,1,60,8,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0,
pcb,Manual,Lock,100,100,209,8.54,Front,10,10,0,,,,,,,,,,,,,,,,,,,,
mark,Whole,Auto,96.0131,9.91894,348.245,9.55547,97.2074,362.437,349.509,362.182,,,,,,,,,,,,,,,,,,,,
markext,0,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
markext,1,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
markext,2,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
markext,3,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
test,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirror_create,1,1,296.3,23.01,0,0,0,0,0.012248,,,,,,,,,,,,,,,,,,,,,
mirror,296.3,23.01,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,
