REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
CB96,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,94.5254,77.8213,0,YES
CB97,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,48.272,77.7705,0,YES
CB99,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,207.645,74.93,90,YES
CB108,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.105,59.2576,90,YES
CB109,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,205.105,55.0932,270,YES
CB110,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,210.312,54.61,90,YES
CB111,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,202.311,44.958,270,YES
CB112,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,153.1376,37.7462,90,YES
CB114,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,67.2846,32.7152,90,YES
CB115,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,65.2018,32.7152,90,YES
CB117,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,16.9926,32.7152,90,YES
CB118,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,14.9098,32.7152,90,YES
CB119,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,40.3472,32.4061,0,YES
CB120,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,89.9788,32.3384,0,YES
CB121,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,128.016,26.8986,180,YES
CB122,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,131.572,26.5326,90,YES
CB124,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,131.572,23.0886,270,YES
CB18,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,221.8324,130.4062,270,YES
CB20,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,203.4428,130.3554,270,YES
CB22,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,184.9008,130.33,270,YES
CB23,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,231.2416,126.1536,90,YES
CB25,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,224.1184,126.1536,90,YES
CB27,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,212.852,126.1028,90,YES
CB29,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,205.7288,126.1028,90,YES
CB31,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,194.31,126.0774,90,YES
CB33,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,187.1868,126.0774,90,YES
CB45,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,215.7476,114.1211,90,YES
CB48,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,209.9056,114.1211,90,YES
CB51,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,218.9226,111.8711,0,YES
CB52,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,191.516,110.9726,90,YES
CB65,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,196.088,106.8578,180,YES
CB73,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,205.3336,105.8661,180,YES
CB83,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,208.3816,100.2781,270,YES
CB98,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,225.044,75.1976,90,YES
CB123,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,133.226,23.0886,270,YES
CB4,CAP_NP_CAP0603_DISCRETE_1UF_,1UF,,CAP0603,168.3258,159.0294,90,YES
CB7,CAP_NP_CAP0603_DISCRETE_4.7UF_,4.7UF,,CAP0603,104.4332,156.6577,90,YES
