REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
CT155,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,122.5042,19.9822,180,NO
CT156,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,149.5633,19.5224,0,NO
CT157,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,153.6019,19.5224,180,NO
CT158,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,124.968,17.0286,270,NO
CT159,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,126.4915,17.0286,270,NO
CT160,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,128.397,17.0286,270,NO
CT161,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,129.921,17.0286,270,NO
CT162,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,131.826,17.0286,270,NO
CT163,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,133.3367,17.0286,270,NO
CT164,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,211.9376,16.6624,0,NO
CT166,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,223.9322,16.6624,0,NO
CT167,CAP_NP_CAP0603_DISCRETE_0.1UF_,0.1UF,,CAP0603,200.787,11.303,90,NO
CT39,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,184.658,114.935,90,NO
CT45,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,180.213,112.9655,270,NO
CT60,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,237.1598,94.0733,90,NO
CT71,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,224.9678,86.0314,90,NO
CT125,CAP_NP_CAP0603_DISCRETE_10UF_,10UF,,CAP0603,135.55,32.4866,90,NO
CT32,CAP_NP_CAP0603_DISCRETE_15PF_,15PF,,CAP0603,209.9056,120.2441,270,NO
CT33,CAP_NP_CAP0603_DISCRETE_15PF_,15PF,,CAP0603,215.6206,120.2441,90,NO
CT165,CAP_NP_CAP0603_DISCRETE_1UF_,1UF,,CAP0603,220.0974,16.6624,180,NO
CT95,CAP_NP_CAP0805_DISCRETE_22UF_,22UF,,CAP0805,216.0218,63.0682,270,NO
CT5,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,120.0082,150.8506,90,NO
CT19,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,55.5244,134.3152,0,NO
CT20,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,105.4862,134.3152,0,NO
CT27,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,55.5244,125.8316,0,NO
CT28,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,105.4862,125.8316,0,NO
CT38,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,156.6164,115.1382,0,NO
CT48,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,156.6164,106.6546,0,NO
CT66,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,55.4228,89.7636,0,NO
CT67,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,105.4862,89.7382,0,NO
CT78,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,55.4228,81.28,0,NO
CT79,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,105.4862,81.2546,0,NO
CT114,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,55.3974,44.5262,0,NO
CT115,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,105.6894,44.5262,0,NO
CT122,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,55.3974,36.0426,0,NO
CT123,CAP_NP_CAP1206_DISCRETE_0.1UF_,0.1UF,,CAP1206,105.6894,36.0426,0,NO
CT96,CAP_NP_CAP1206_DISCRETE_100UF_,100UF,,CAP1206,222.0218,62.4682,270,NO
CT63,CAP_NP_CAP1206_DISCRETE_22UF_,22UF,,CAP1206,118.237,91.948,180,NO
CT82,CAP_NP_CAP1206_DISCRETE_22UF_,22UF,,CAP1206,118.237,79.629,180,NO
CT7,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,29.591,148.7932,180,NO
CT8,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,79.5528,148.7932,180,NO
CT11,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,29.615,146.1262,180,NO
CT12,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,79.5768,146.1262,180,NO
CT23,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,130.683,129.6162,180,NO
CT26,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,130.707,126.9492,180,NO
CT49,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,29.5134,101.5746,180,NO
CT50,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,79.5768,101.5492,180,NO
CT51,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,29.4894,104.2416,180,NO
CT52,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,79.5528,104.2162,180,NO
CT99,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,29.488,56.3372,180,NO
CT100,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,79.78,56.3372,180,NO
CT101,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,29.464,59.0042,180,NO
CT102,CAP_NP_CAP1206_DISCRETE_4.7UF_,4.7UF,,CAP1206,79.756,59.0042,180,NO
CT64,CAP_NP_CAP1206_DISCRETE_47UF_,47UF,,CAP1206,126.9443,90.2059,270,NO
CT68,CAP_NP_CAP1206_DISCRETE_47UF_,47UF,,CAP1206,138.938,89.662,270,NO
CT77,CAP_NP_CAP1206_DISCRETE_47UF_,47UF,,CAP1206,131.318,81.534,90,NO
CT80,CAP_NP_CAP1206_DISCRETE_47UF_,47UF,,CAP1206,146.054,81.153,90,NO
DT4,LED_GREEN0603,LTST-S270KGKT,,LEDC1608X80N,164.6444,124.1422,180,NO
DT5,LED_GREEN0603,LTST-S270KGKT,,LEDC1608X80N,164.6444,121.9193,180,NO
DT6,LED_GREEN0603,LTST-S270KGKT,,LEDC1608X80N,164.6444,119.6965,180,NO
DT8,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,146.304,86.868,180,NO
DT11,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,143.129,73.2162,180,NO
DT3,LED_LEDC1608X80N_LTST-S270KRKT,LTST-S270KRKT,,LEDC1608X80N,164.6444,126.365,180,NO
UT2,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,143.4191,145.5461,0,NO
UT6,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,13.8684,121.778,270,NO
UT7,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,63.8302,121.778,270,NO
UT13,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,114.9604,102.601,270,NO
UT17,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,134.9715,87.7103,0,NO
UT21,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,13.7668,77.2264,270,NO
UT22,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,63.8302,77.201,270,NO
UT23,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,134.5828,75.0293,0,NO
UT33,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,13.7414,31.989,270,NO
UT34,LTC2945CUD_QFN12_LTC2945HUD,LTC2945HUD,,QFN12,64.0334,31.989,270,NO
RT25,R_RES0402_0,0,,RES0402,13.1064,125.984,270,NO
RT26,R_RES0402_0,0,,RES0402,62.1792,125.984,270,NO
RT44,R_RES0402_0,0,,RES0402,111.4298,105.0544,0,NO
RT84,R_RES0402_0,0,,RES0402,12.1158,81.4324,270,NO
RT131,R_RES0402_0,0,,RES0402,12.0904,36.195,270,NO
RT132,R_RES0402_0,0,,RES0402,12.9794,36.195,270,NO
RT16,R_RES0603_0 OHM,0 Ohm,,RES0603,91.2114,135.4878,270,NO
RT17,R_RES0603_0 OHM,0 Ohm,,RES0603,41.2496,135.437,270,NO
RT19,R_RES0603_0 OHM,0 Ohm,,RES0603,39.624,135.4116,270,NO
RT21,R_RES0603_0 OHM,0 Ohm,,RES0603,89.5858,135.4116,270,NO
RT22,R_RES0603_0 OHM,0 Ohm,,RES0603,235.8898,131.3434,0,NO
RT23,R_RES0603_0 OHM,0 Ohm,,RES0603,8.4034,128.1938,180,NO
RT35,R_RES0603_0 OHM,0 Ohm,,RES0603,211.5566,120.3441,270,NO
RT37,R_RES0603_0 OHM,0 Ohm,,RES0603,142.4432,116.3108,270,NO
