#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
stack,32,0,1234,25.44,182.29,-90,LEDC1608X80N,LEDC1608X80N/LTST-S270KRKT,1.6,100,3,100,No,-40,2,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,33,0,1234,25.72,199.13,-90,QFN12,QFN12/LTC2945HUD,1.5,300,2.6,100,No,-40,2,90,8,50,60,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,34,0,1234,25.58,218.28,-90,RES0603,RES0603/130 Ohm,2.2,100,2.6,100,No,-40,2,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,35,0,1234,25.5,235.33,-90,RES0603,RES0603/174 Ohm,2.2,100,2.6,100,No,-40,2,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,36,0,1234,25.46,252.66,-90,RES0805,RES0805/0.02,2.3,100,2.6,100,No,-40,2,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,38,0,1234,25.3,270.14,-90,RES0603,RES0603/249 Ohm,2.2,100,2.6,100,No,-40,2,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,39,0,34,25.6,286.56,-90,CAP2312,CAP2312/150UF,1.8,100,4.2,100,No,-40,2,80,8,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,40,0,1234,25.57,305.35,-90,RES0603,RES0603/499 Ohm,2.2,100,2.6,100,No,-40,2,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,41,0,1234,25.27,323.01,-90,CAP0603,CAP0603/15PF,2.8,100,3,100,No,-40,2,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,42,0,1234,25.45,340.2,-90,CAP1206,CAP1206/100UF,2.2,100,2.6,100,No,-40,2,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,43,0,34,25.37,358.27,-90,DIO-214AB,DIO-214AB/SMCJ12CA-E3/57T,1.5,400,4,100,No,-40,2,80,8,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,45,0,34,25.76,380.09,-90,CAP2917,CAP2917/150UF,2.2,500,6,100,No,-40,1,60,8,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0
pcb,Manual,Trace,100,100,208.74,200,Front,10,10,0,,,,,,,,,,,,,,,,,,,
mark,Whole,Auto,113.316,43.4062,339.933,43.7869,113.419,198.859,339.989,199.274,,,,,,,,,,,,,,,,,,,
markext,0,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
markext,1,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
markext,2,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
markext,3,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
test,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirror_create,1,1,116.35,70.89,0,0,0,0,0.012248,,,,,,,,,,,,,,,,,,,,
mirror,116.35,70.89,0,No,,,,,,,,,,,,,,,,,,,,,,,,,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip,,,,,,,,,,,,,,,,,,,,
comp,11,1,RT131,0,RES0402,116.39,70.63,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,11,3,RT132,0,RES0402,117.270,70.420,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,11,4,RT84,0,RES0402,116.440,115.610,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,11,1,RT25,0,RES0402,117.470,160.110,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,11,3,RT26,0,RES0402,166.410,160.210,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,11,4,RT44,0,RES0402,215.530,139.380,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,1,RT122,0 Ohm,RES0603,143.730,79.880,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,3,RT125,0 Ohm,RES0603,145.600,79.880,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,4,RT65,0 Ohm,RES0603,143.790,125.080,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,1,RT69,0 Ohm,RES0603,145.640,124.880,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,8,3,RT124,0 Ohm,RES0603,193.910,79.970,-90,Yes,,,,,,,,,,,,,,,,,,,,
