#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,,,,,,,,,,,,,
stack,34,0,1,25.58,218.28,-90,603,RES0603/3.32K,2.2,300,2.6,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,35,0,3,25.63,235.33,-90,SOT23-5,SOT23-5/DS90LV011AQMFE/NOPB,1.9,100,3,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,36,0,1,25.41,252.83,-90,603,RES0603/4.99,2.2,100,2.6,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,38,0,1,25.06,270.18,-90,SOT23-6,SOT23-6/HFA3134,1.9,100,3,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,39,0,1,25.34,288,-90,603,RES0603/402 Ohm,2.2,100,2.6,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,40,0,3,25.61,305.46,-90,1206,RES1206/75 Ohm,2.2,100,2.3,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,41,0,1,25.27,323.01,-90,1206,RES1206/10k Ohm,2.2,100,2.3,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,42,0,1,25.46,340.2,-90,603,RES0603/124 OHM,2.2,100,2.6,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
stack,43,0,4,27.41,365.03,-90,2917,CAP2917/150UF,2.2,100,2.6,100,No,-40,1,100,4,50,30,No,No,-40,-40,-40,-40,-1,-1,0,0
pcb,Manual,Lock,100,100,209,8.54,Front,10,10,0,,,,,,,,,,,,,,,,,,,
mark,Whole,Auto,97.0903,15.3588,97.0419,362.412,348.099,363.436,348.155,15.9245,,,,,,,,,,,,,,,,,,,
markext,0,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
markext,1,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
markext,2,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
markext,3,0.8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
test,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirror_create,1,1,296.3,23.01,0,0,0,0,0.012248,,,,,,,,,,,,,,,,,,,,
mirror,296.3,23.01,0,No,,,,,,,,,,,,,,,,,,,,,,,,,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip,,,,,,,,,,,,,,,,,,,,
