#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
comp,1,1,C120,0.3PF,CAP0402,1645.2230182034612,778.2184056187173,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C121,0.1UF,CAP0402,1687.837661644733,1999.7085467202237,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C122,0.1UF,CAP0402,1690.1632682172783,1533.8488165370088,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C123,1000PF,CAP0402,1720.0581625445782,1096.079843122836,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C124,1000PF,CAP0402,1757.4909427583636,1063.0171148350646,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C125,0.1UF,CAP0603,1795.7304573955357,58.49626544067824,180,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C126,0.1UF,CAP0603,2085.9690648746805,929.4466702117944,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C127,0.1UF,CAP0603,2432.0260598346263,1783.9119469432783,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C128,0.1UF,CAP0402,2641.640787269135,1463.358071614543,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C129,4700PF,CAP1825,2790.6686378271434,-1122.2306328330903,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C13,1000PF,CAP0603,525.0466696818405,265.1897433434074,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C130,4700PF,CAP1825,2794.2760477000033,-1558.0717813806582,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C131,4700PF,CAP1825,2797.863039383087,-1991.446038835699,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C132,2 pF,CAP0402,3084.8247164736435,1720.644289053497,180,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C133,100PF,CAP0402,3160.1730897392335,2029.2327652580939,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C134,0.1UF,CAP0402,3279.419407654094,3889.8037041918838,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C135,10UF,CAP0603,4561.6854128703235,3286.9720718259578,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C136,10UF,CAP0603,5128.526449704747,2797.050004687272,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C137,10UF,CAP0603,5937.420754822202,7107.431020020641,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C138,0.1UF,CAP0402,6587.60345106845,4733.252655938484,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C139,1000PF,CAP0603,7421.418266643442,-417.2457900740861,180,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C14,0.1UF,CAP0603,525.0556540536819,258.94175061855543,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C140,10UF,CAP0603,9044.44345705398,-952.6106006312953,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C141,10PF,CAP0603,9502.871465803219,6119.32535247045,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C142,0.01UF,CAP0402,12202.110906332202,-1968.0061471328893,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C143,0.1UF,CAP0402,15495.282340208845,8884.855274563746,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C144,0.1UF,CAP0402,18671.441295479475,11375.95647199645,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C145,1000PF,CAP0603,-136562.3193945343,-38788.574465165606,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C146,0.1UF,CAP0603,-135401.40600482686,-35655.79495596266,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C147,10UF,CAP0603,-134107.2939734573,-32163.572633073472,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C148,0.1UF,CAP0402,-50557.83917490868,-69149.82243709337,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C149,0.1UF,CAP0402,-48185.870677438106,-50448.370670635166,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C15,1000PF,CAP0402,529.8050939221516,373.15359968370694,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C150,0.01UF,CAP0603,-23376.93385166775,-8336.190251208369,180,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C151,0.1UF,CAP0402,-17994.742425755663,-20220.91969096365,180,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C152,1000PF,CAP0402,-9022.280918857596,-117.28167843333911,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C153,0.1UF,CAP0402,-8968.869758368275,99.18851246433853,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C154,1000PF,CAP0603,-4835.881745650452,658.7006245164926,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C155,0.1UF,CAP0603,-4495.233496788226,-1508.081528810207,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C156,1000PF,CAP0603,-4493.889932984104,-1410.150407882739,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C157,10UF,CAP0603,-4219.713249607958,989.2434207506598,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C158,0.1UF,CAP0402,-4299.178361082862,-6032.980787881725,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C159,0.1UF,CAP0402,-4280.213260884103,-4568.606967403057,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C16,0.1UF,CAP0402,534.6288328529347,375.8655582555123,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C160,1000PF,CAP0603,-4165.395228741081,1567.078821944335,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C161,0.1UF,CAP0603,-4164.2366425759155,1657.2881577915257,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C162,0.1UF,CAP0603,-3923.30242026335,-1770.7806957721207,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C163,1000PF,CAP0402,-3403.6575862204822,71.73927565739677,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C164,10PF,CAP0603,-3377.593540772012,-2111.240276686714,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C165,10UF,CAP0603,-3090.635640703533,-1465.299365043244,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C166,0.1UF,CAP0402,-2810.9085160032128,90.95381685621855,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C167,0.1UF,CAP0402,-2790.401746286819,-1614.1881001013926,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C168,1000PF,CAP0402,-2789.7940337866285,-1543.2934218971359,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C169,3PF,CAP0402,-2607.285903042563,-641.009867675499,180,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C17,20PF,CAP0402,540.8234178479121,373.59924641803,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C170,1000PF,CAP0402,-2519.1409479943454,-1291.1044950325304,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C171,20PF,CAP0402,-2328.770294894168,154.39997347816833,0,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C172,0.1UF,CAP0603,-2282.772923789322,343.9466709238584,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C173,0.1UF,CAP0603,-2040.8940770744657,733.2605601749227,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C174,1000PF,CAP0603,-2040.5975149842664,779.9192694070041,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C175,0.3PF,CAP0402,-1976.8356381040996,522.0853870353479,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C176,0.1UF,CAP0402,-1989.5203436032662,-2513.415512427192,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C177,0.1UF,CAP0402,-1942.4719927899528,-1763.890101193936,90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C178,1000PF,CAP0402,-1813.8392773137095,108.1164366728247,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C179,1000PF,CAP0402,-1753.120161826455,181.4015027562284,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C18,0.1UF,CAP0603,541.5685640000189,349.95739600695975,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C180,4700PF,CAP1825,-1624.2991990652968,1132.4230970449785,-90,NO,,,,,,,,,,,,,,,,,,,,
comp,1,1,C181,4700PF,CAP1825,-1622.7163238936416,1443.0073679472239,-90,NO,,,,,,,,,,,,,,,,,,,,
